ลำดับ	ภาพรีวิวจริง	เมือง	ย่าน	ชื่อร้าน / สถานที่	ประเภท	อาหาร / จุดเด่น	เวลาเปิด-ปิด	เมนูเด็ด / ไฮไลต์	โน้ตส่วนตัว	Google Maps
11	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxJTiIZpHWft1gaapBRvhasFuwNYhJWONbfDzNNbG221Ga55tyXvbbOH7zw0ezlzwMab8LZkS-4h96mr1myQbEx50XI1yJjmoTtyOXt7bTh-h2hOPlvbjxAe-g_GQ_t4p8zsa2BubRRuZFTAByVzVZA4FFI0H60s9xKE4wh50HOVS8tPNbmWvJQ7sHXMt70TEoYPOVmTeExKpC9B6RcgHFKY_deDvhxWXrAPecPHwlR4pQPPlI0f2lfr7RKifvB7myQFU9FE7NO8WxTHSrs86Uu5/d4cdf50928856ec61e571f53730eb7e1.jpg"")"	Tokyo	Ginza	HIIRAGI Ginza (銀座 柊)	ร้านขนมหวานญี่ปุ่น	ขนมไทยากิแป้งบางกรอบ (Taiyaki)	11:00 – 19:00	Taiyaki แป้งบางกรอบนานเป็นพิเศษ สอดไส้ถั่วแดงกวนหวานนุ่ม, ขนมปังเนยไทยากิ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.669256,139.7646987&query_place_id=HIIRAGI%20Ginza%20Ginza"", ""📍 แผนที่"")"
12	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7Nl8NPWUjOSXbEzJJqdxSUWCf3XaaGffvKJxg95bLmUrAI5N_gadbXRIgAaOy2GwuJrDFh5nDHAIIEY0hQCkZGxdg9GtgmlqaMkHND3icu9pxk6TduD-mOLk-MSssURZrmWnhkYoHDRX1J6n_7qje1yXs7jlN5lqDjAfuj7GieH2RV-xR6AtIptG8jET0uCt_jW55jlaW6h6au5-PIU6LT5QB-M6vdLuecluMI5Un4H4z-3LqkTI5sRt1k8imEhD9C4-41NimlSZy9Y1qeG9SQ=/s_0n6a.jpg"")"	Tokyo	Ginza	Seafood Buffet Dining Ginza Happo (銀座八芳)	ร้านอาหาร / บุฟเฟต์	บุฟเฟต์ซีฟู้ด ปูยักษ์ ซูชิ เนื้อย่าง (Seafood Buffet)	11:30 – 15:00 / 17:00 – 22:30	บุฟเฟต์ขาปูยักษ์ทาราบะและซูไวคานิไม่อั้น, ซูชิปลาดิบสด, หอยเชลล์ย่างเนย, เนื้อวากิว		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6672123,139.7618203&query_place_id=Seafood%20Buffet%20Dining%20Ginza%20Happo%20Ginza"", ""📍 แผนที่"")"
13	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxIvOfeFulQ-k6a-45h5F6hG8c77w0hBh7cS1_H9UuW6hHGTXiIT8MdWqn5N7OSMyY38M2ygpOxYYFwtBcWaKhwd0tEHkniEVuuX5g5x6Syvlwq6xhDPwHxbn3xDSoG_L7vtdEtoQEWPm1TfnXZOoUmglcjt2UlXOapzxdYBY5PT80aVyPM2oMOzO7OqapMlEaA9x2d053i6yqs_-C4nX2J5mccrn3nn-eS7Wx-zgNy5oVwBKV_l2dBFBe7ZOHMRrd1dgfwXWPyS-8co5h8YacY3Ia4xBDI5vFfo39weoVxh1LmmEu9i14_1Kz4v2MQ7eIGN1oB7zPiP6khl2bSnArqv/8d9c7b3efee49a30985eaf6c6d96c167.jpg"")"	Tokyo	Ginza	USHIGORO S. GINZA (うしごろ エス 銀座)	ร้านอาหาร Fine Dining	เนื้อย่างยากินิกุห้องส่วนตัวระดับอัลตร้าลักชัวรี (Wagyu Yakiniku)	12:00 – 15:00 / 17:00 – 23:30	คอร์สเนื้อวากิวสายพันธุ์ทาจิมะแท้ มีเชฟย่างให้ส่วนตัว, ข้าวหม้อดินเนื้อวากิวทรัฟเฟิลดำ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6693111,139.7620223&query_place_id=USHIGORO%20S.%20GINZA%20Ginza"", ""📍 แผนที่"")"
14	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG1PSDa2zmdLNp6U4d6KT7zeezi-0K5p7P4kZfzywv8PcSxkXxJY-gxu0pc7GOXS291P0hhOKE0WV02xp8COfSD8pG5KoyrMAI7gVWIkYk5LOlc7mt3ODI6AwMJ4Aoiv-l1hVdNPn8GJF1JZ-hY_3KcgUoqWY_01Bz8PNJo-LYZ-rpqSCl-qnQczZlvvXgS9_1YNP3bmd6CZw2KRPEeViWut0IiSXXbdxqoaDi0DUZu4KjPT6R0qFMrW8bMELt_zBQA==/1378w.jpg"")"	Tokyo	Ginza	Quil Fait Bon Grand Maison Ginza (キルフェボン グランメゾン銀座)	คาเฟ่ / ขนมหวาน	ทาร์ตผลไม้สดพรีเมียม (Fresh Fruit Tart)	11:00 – 19:00	Seasonal Fresh Fruit Tart (ทาร์ตผลไม้รวมสดตามฤดูกาล), ทาร์ตสตรอว์เบอร์รีสีขาว, ทาร์ตชีสมัทฉะ		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6740612,139.767203&query_place_id=Quil%20Fait%20Bon%20Grand%20Maison%20Ginza%20Ginza"", ""📍 แผนที่"")"
15	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG1Xdm7uvCnNAK5OR_dwB1p552L9A1sucPO1LPvY6srqLFN3_6uZiwQeFV64wsHT2z41IcP48XBk3Vm-HG74Tg9UX8AX3qh-9DSXgfibyHETgrtvQGdN0sJvM-MC0TacXuA2Ycm_Zx_TOBZLXvYlpOYV-rdmS-JDkd7d-jpzP83Nd7gzqkB710AsYpwYApkhl2hqwcLyWA5JH0az2sIemvDJecWnWkjBG_Mcw3EbF3GQ0xnDUQJjaAtV2OvNYM2_VRRTQQbzQ0p4caWkyaSELo94=/5033_top2-728x360.jpeg"")"	Tokyo	Ginza	Kakuōzan Furūtsu Daifuku Benzaiten (覚王山フルーツ大福 弁才天 銀座店)	ร้านขนมหวาน	ไดฟุกุผลไม้สดทั้งลูก (Fruit Daifuku)	10:00 – 19:00	ไดฟุกุส้มแมนดารินทั้งลูก, ไดฟุกุสตรอว์เบอร์รี, ไดฟุกุกีวี (มีเส้นด้ายไหมให้ตัดโชว์หน้าตัดสวยงาม)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6701838,139.7679059&query_place_id=Kaku%C5%8Dzan%20Fur%C5%ABtsu%20Daifuku%20Benzaiten%20Ginza"", ""📍 แผนที่"")"
16	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG6u5jVo0vzuJ9qJdxqwJa2YqPcnqkZ86ZnYCYnXJs7mi2hie4ZNxC4l5-31foPUz644x6iybk7C3UB_GmTbK90ke2u4QRpieN6CLl7ScxY-5o8LKF6AjTRFPEJVogbdhDv4mxuUZYmlqg83lCUvBzGt3ZThxQVSSX3ufNQ7XrTK6P9BRdGb6MY4vF0HYTZemqvOPPCTpGmqzrkESM7LDtWbgGFSU1Zq2h3_n2GICVkaGhP9Jr9nYWBWL7kC9IzaqD_2_13-MTANHwrSyrLXWeNA=/20210707_centre_the_bakery_021.jpg"")"	Tokyo	Ginza	Centre The Bakery (セントル ザ・ベーカリー 銀座)	คาเฟ่ / เบเกอรี่	ขนมปังปอนด์โชคุปังพรีเมียม (Shokupan & Sandwiches)	10:00 – 19:00	Shokupan Tasting Set (เปรียบเทียบขนมปัง 3 แบบพร้อมปิ้งเองที่โต๊ะ), หมูทอดคัตสึแซนด์		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6755334,139.7665952&query_place_id=Centre%20The%20Bakery%20Ginza"", ""📍 แผนที่"")"
17	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG3jbO7-ozP2Gir5cLMGSrl3F0jl4hJJZruf_wu7OAJwj0cW6Y8MtoHk7llzATicOptjMJtOLp9z2-BNnUhrUvAPin4pQcOE3S2D20dUbQ18WKtWuGQLpXHMQug7KhEJ_MfF6SRVIsJ_NbxYiLv_-eMn-jO3iN4wLtyHYDxKaqgBiTiurRrSMZew9xAniFKagn3s3dayHIEhnZSuj5ftsZttoaUIZ2Ekn8XvWuTgwdjB_N5cw4Byauio877yfNPf7ifAH49WHEccVQUwCPuflEfDg4nbJIh-WFDKdUj53Yyg1/IMG_6536-scaled-e1684751062333.jpeg"")"	Tokyo	Ginza	Kaitenzushi Nemuro Hanamaru Ginza (根室花まる 銀座店)	ร้านอาหาร	ซูชิสายพานฮอกไกโด (Conveyor Belt Sushi)	11:00 – 22:00	ซูชิหอยเชลล์โฮตาเตะหวานสดชิ้นโต, ซูชิไข่ปลาแซลมอนพูนๆ, ซุปปูฮันซากิ (Tokyu Plaza 10F)		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6722448,139.7624127&query_place_id=Kaitenzushi%20Nemuro%20Hanamaru%20Ginza%20Ginza"", ""📍 แผนที่"")"
18	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxJTiIZpHWft1gaapBRvhasFuwNYhJWONbfDzNNbG221Gbuf1Q0mmoaxJ0LR7-KDvAplNA6PrROxN_QbYy5JqwUV-vY-Zw-5cjcylNVAlIBTFvrDYaLUUV7T5FZPns5j1tGbrON8lJN_OKdGbKWMP1ONeJgfTJn6AYXOtCRwRmXl-_lZSpQAGnzxawGyms0q20eh5ZeEgiXBO2NVHRdREloSYrjynFjl7fA2IVKTtkLVkQlURtuIGJjeCgfnIqC_THkOnffbhl1Z2FPWquG3-z-Tew1Cy4ZkfK6u--L1V_3hKA==/640x640_rect_4ea463bdde798ecb4ff3c8c093cea5c8.jpg"")"	Tokyo	Ginza	Cloud Club Matcha (クラウドクラブ 抹茶 銀座)	คาเฟ่	เครื่องดื่มมัทฉะและขนมหวานชาเขียว (Matcha Specialty)	11:00 – 19:00	Cloud Matcha Latte (มัทฉะเกรดพิธีการพร้อมฟองนุ่มละมุน), พุดดิ้งชาเขียวมัทฉะเข้มข้น		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6703058,139.7698228&query_place_id=Cloud%20Club%20Matcha%20Ginza"", ""📍 แผนที่"")"
19	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG6di4gXZKaxTxhxYj1CXUOYWs7ZQeT2PnU_xp6QF6URJiz42lfS72b7al6KLMxS9Vyytq2mOJvLrTe79tiNKJvnpCepd71ZtAxwl8ZIrLHyuh1bDznyTi8_XOMDlzvDErEZyt80CQkZMNclhQVPrcmr7tkC_oEPU79MLQCtHDOY0IIH4Xk91Wb0EF1JUqe16JxVvKgoPSXHBAwJFu6oE2sqAIDhEZqJ3eK3HvI6UaYUpq5YPwmbrftXkcMePaRU3-W0NRgc3OYm4tj-OdUUlOcUwQ_gHkZevOOs6r_q6j84rGLEo6RHIO_tCUJWAs8RAkTIkKvIA4GIcITE3IzXOhpU=/845415-l0101.jpg"")"	Tokyo	Ginza	Tonkatsu Ginza Bairin Honten (銀座梅林 本店)	ร้านอาหาร	ทงคัตสึหมูทอดในตำนาน (Historic Tonkatsu ตั้งแต่ 1927)	11:00 – 21:00	Special Hirekatsu (ทงคัตสึสันในพิเศษกรอบนอกนุ่มฉ่ำ), Special Katsudon ไข่เยิ้ม, คัตสึแซนด์		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6695863,139.7627483&query_place_id=Tonkatsu%20Ginza%20Bairin%20Honten%20Ginza"", ""📍 แผนที่"")"
20	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqG7vtJUceQEiwasVKtK4sWxJTiIZpHWft1gaapBRvhasFuwNYhJWONbfDzNNbG221GewRSfzi941-qPermov32OOiKxR9QaSzrWsAyy1i5iicKoPjnLbRhb_Jc089x0UiwunthZhP_Y1UOyVHbambzHSbrON8lJN_OKdGbKWMP1ONeJgfTJn6AYXOtCRwRmXl-_lZSpQAGnzxawGyms0q20eh5ZeEgiXBO2NVHRdREloSty1RtVsVmWaLxHImuPv0p3zgeqeQwZYeBJbupzm6p_vkNKq-mS78-GX2r1UoVr08Rh7v7pY8qPpKmfR0rImH3g==/640x640_rect_35466440cfe8136df66377ffc87870f2.jpg"")"	Tokyo	Ginza	Ginza Tenkuni (銀座 天國 本店)	ร้านอาหาร	ข้าวหน้าเทมปุระเอโดะ (Historic Tempura ก่อตั้ง 1885)	11:30 – 22:00	Edomae Tendon (ข้าวหน้าเทมปุระรวมซอสเข้มข้นหอมกรุ่นสูตรโบราณ), เทมปุระกุ้งลายเสือทอดสด		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6676662,139.7628011&query_place_id=Ginza%20Tenkuni%20Ginza"", ""📍 แผนที่"")"
21	"=IMAGE(""https://msp.c.yimg.jp/images/v2/FUTi93tXq405grZVGgDqGxX47MfAz-y7L5zC73gMzKVI9O8jMpFIO-r-2eAW_aXZbdeJh2e7mGISNlw52ERi5PAL5wig6a4mGmPJlc-5VF6Wd_3e3Lfz0zn-1hmt4TRKHZeX2zkQU6aiUgVvMbImsaH14VFizqmLlVCmFW_QuopeQCJBebn62rzScXBE0l1UMmZzRHYjrWEhlKIFHNRX7zK6ORpzPf7OFpD40n_M3-zLRyATXASUlp41zBDZjaDkDnhnNqhuFAMc4N7yID0LcZIxEqadtf6-tqgGcGGdoPvPa5yNqqBBdPRaCViq80wUbeVni1PaQnL273boCtotSvKOs0HD2JdbiAMZL40A1VI=/80d17691-a6fd-4c7c-b697-1e9bc92a8c9d.jpg"")"	Tokyo	Tokyo Station / Yaesu	Sumiyaki Unafuji (炭焼 うな富士 東京ミッドタウン八重洲店)	ร้านอาหาร	ข้าวหน้าปลาไหลย่างถ่านสไตล์นาโกย่า (Michelin-listed Hitsumabushi)	11:00 – 22:00	Jyo Hitsumabushi (ฮิตสึมาบุชิปลาไหลย่างเตาถ่าน 3 สไตล์), ตับปลาไหลย่างเตาถ่านหอมกรุ่น		"=HYPERLINK(""https://www.google.com/maps/search/?api=1&query=35.6794084,139.7689311&query_place_id=Sumiyaki%20Unafuji%20Tokyo%20Station%20/%20Yaesu"", ""📍 แผนที่"")"
